"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"55119","FRB 20190604B","02:07:14.400","+65:43:48.00","FRB","","347.76","1.62","pc/cc","104.32","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40363753","","","1","1","2020-03-27","","","2019-06-04 17:11:39.793","CHIME_FRB_bot","","2020TNSFR.891....1Z","",""
"55118","FRB 20190604A","14:35:00.000","+53:16:48.00","FRB","20190604A","553.18","3.23","pc/cc","31.65","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40227427","","","1","1","2020-03-27","","","2019-06-04 05:49:57.229","CHIME_FRB_bot","","2020TNSFR.891....1Z","",""
"55881","FRB 20190603B","03:16:19.200","+74:16:48.00","FRB","","503.04","1.62","pc/cc","100.51","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40086087","","","1","1","2021-06-09","","","2019-06-03 06:25:19.637","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55117","FRB 20190603A","01:56:52.800","+65:43:48.00","FRB","20180916B","347.76","1.62","pc/cc","104.32","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40163166","","","1","1","2020-03-27","","","2019-06-03 17:09:23.395","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"70386","FRB 20190601D","05:42:55.200","+79:21:00.00","FRB","","669.64","3.23","pc/cc","63.79","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","39907990","","","1","1","2021-06-09","","","2019-06-01 20:55:23.137","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"55879","FRB 20190601C","05:54:12.000","+28:19:48.00","FRB","","423.78","3.23","pc/cc","184.63","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","39911187","","","1","1","2021-06-09","","","2019-06-01 21:13:39.234","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55878","FRB 20190601B","01:11:40.800","+23:58:48.00","FRB","","789.34","12.94","pc/cc","42.18","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","39862821","","","1","1","2021-06-09","","","2019-06-01 16:31:44.120","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55877","FRB 20190601A","12:40:16.800","+62:43:12.00","FRB","","2228.91","3.23","pc/cc","33.15","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","39811269","","","1","1","2021-06-09","","","2019-06-01 04:05:39.939","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55876","FRB 20190531E","01:00:57.600","+00:32:24.00","FRB","","328.35","1.62","pc/cc","32.4","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","39751753","","","1","1","2021-06-09","","","2019-05-31 16:28:14.379","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55874","FRB 20190531C","22:04:33.600","+43:00:00.00","FRB","","477.16","1.62","pc/cc","132.6","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","39732581","","","1","1","2021-06-09","","","2019-05-31 13:33:17.714","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
